grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines
101,500,1,0.0004,0.3,0.1,3,[50],[50]
101,500,1,0.0004,0.4,0.1,3,[50],[50]
101,500,1,0.0004,0.5,0.1,3,[50],[50]
101,500,1,0.0004,0.6,0.1,3,[50],[50]
101,500,1,0.0004,0.7,0.1,3,[50],[50]
101,500,1,0.0004,0.8,0.1,3,[50],[50]
101,500,1,0.0004,0.9,0.1,3,[50],[50]
101,500,1,0.0004,1,0.1,3,[50],[50]
101,500,1,0.002,0.3,0.1,3,[50],[50]
101,500,1,0.002,0.4,0.1,3,[50],[50]
101,500,1,0.002,0.5,0.1,3,[50],[50]
101,500,1,0.002,0.6,0.1,3,[50],[50]
101,500,1,0.002,0.7,0.1,3,[50],[50]
101,500,1,0.002,0.8,0.1,3,[50],[50]
101,500,1,0.002,0.9,0.1,3,[50],[50]
101,500,1,0.002,1,0.1,3,[50],[50]
101,500,1,0.04,0.3,0.1,3,[50],[50]
101,500,1,0.04,0.4,0.1,3,[50],[50]
101,500,1,0.04,0.5,0.1,3,[50],[50]
101,500,1,0.04,0.6,0.1,3,[50],[50]
101,500,1,0.04,0.7,0.1,3,[50],[50]
101,500,1,0.04,0.8,0.1,3,[50],[50]
101,500,1,0.04,0.9,0.1,3,[50],[50]
101,500,1,0.04,1,0.1,3,[50],[50]
101,500,1,0.0004,0.3,0.2,3,[50],[50]
101,500,1,0.0004,0.4,0.2,3,[50],[50]
101,500,1,0.0004,0.5,0.2,3,[50],[50]
101,500,1,0.0004,0.6,0.2,3,[50],[50]
101,500,1,0.0004,0.7,0.2,3,[50],[50]
101,500,1,0.0004,0.8,0.2,3,[50],[50]
101,500,1,0.0004,0.9,0.2,3,[50],[50]
101,500,1,0.0004,1,0.2,3,[50],[50]
101,500,1,0.002,0.3,0.2,3,[50],[50]
101,500,1,0.002,0.4,0.2,3,[50],[50]
101,500,1,0.002,0.5,0.2,3,[50],[50]
101,500,1,0.002,0.6,0.2,3,[50],[50]
101,500,1,0.002,0.7,0.2,3,[50],[50]
101,500,1,0.002,0.8,0.2,3,[50],[50]
101,500,1,0.002,0.9,0.2,3,[50],[50]
101,500,1,0.002,1,0.2,3,[50],[50]
101,500,1,0.04,0.3,0.2,3,[50],[50]
101,500,1,0.04,0.4,0.2,3,[50],[50]
101,500,1,0.04,0.5,0.2,3,[50],[50]
101,500,1,0.04,0.6,0.2,3,[50],[50]
101,500,1,0.04,0.7,0.2,3,[50],[50]
101,500,1,0.04,0.8,0.2,3,[50],[50]
101,500,1,0.04,0.9,0.2,3,[50],[50]
101,500,1,0.04,1,0.2,3,[50],[50]
101,500,1,0.0004,0.3,0.3,3,[50],[50]
101,500,1,0.0004,0.4,0.3,3,[50],[50]
101,500,1,0.0004,0.5,0.3,3,[50],[50]
