grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.0004,0.3,0.1,3,[],[],0.1023,836,52.375009676278125,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,[],[],0.1012,819,52.70986042132979,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,[],[],0.103,831,52.22138763815577,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[],[],0.1011,821,52.80327284523501,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[],[],0.0993,822,53.2741630215999,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[],[],0.1044,854,51.73499991712409,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[],[],0.096,777,54.3315631941288,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[],[],0.1027,815,52.18502150275077,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[],[],0.0972,795,54.02588961202896,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,[],[],0.1003,856,53.01966971481631,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,[],[],0.0992,783,53.30615574452473,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,[],[],0.1042,854,51.79646996645296,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[],[],0.0986,812,53.557205197206194,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[],[],0.0971,801,54.160811914750425,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[],[],0.1016,836,52.59295211996451,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.8,0.1,3,[],[],0.1067,846,51.03446388658348,0.0001,1,25.0,25.0,0.0
