grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.0004,0.3,0.1,3,[50],[50],0.1011,833,52.73356677713175,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,[50],[50],0.0965,802,54.2887808621706,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,[50],[50],0.0956,770,54.5827458306666,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[50],[50],0.0982,785,53.69770234309329,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[50],[50],0.0925,768,55.64670434456849,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,[50],[50],0.0964,790,54.20103875627201,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[50],[50],0.0986,819,53.51087818302038,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[50],[50],0.0962,783,54.338593564691685,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,[50],[50],0.1006,831,52.889773798273424,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.6,0.1,3,[50],[50],0.0967,798,54.152787481864316,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,[50],[50],0.0985,804,53.58937897948025,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.6,0.1,3,[50],[50],0.097,794,54.01761874625684,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[50],[50],0.1016,815,52.61029906672891,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[50],[50],0.1004,789,53.08086536747293,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,[50],[50],0.1001,818,52.99069177498905,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.8,0.1,3,[50],[50],0.0971,791,53.97839269118093,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.8,0.1,3,[50],[50],0.0998,821,53.186818869411724,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.8,0.1,3,[50],[50],0.1043,848,51.71166386081707,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.9,0.1,3,[50],[50],0.0997,822,53.19503973221285,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.9,0.1,3,[50],[50],0.099,805,53.49469140533972,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.9,0.1,3,[50],[50],0.0981,820,53.6619467267282,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,1,0.1,3,[50],[50],0.096,822,54.35530108476505,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,1,0.1,3,[50],[50],0.0958,789,54.45679763964658,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,1,0.1,3,[50],[50],0.0955,783,54.45709456846466,0.0001,1,25.0,25.0,0.0
101,500,1,0.002,0.3,0.1,3,[50],[50],0.0996,822,53.23441122984277,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.3,0.1,3,[50],[50],0.0983,809,53.64418890422762,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.3,0.1,3,[50],[50],0.0989,815,53.49409320104621,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.4,0.1,3,[50],[50],0.0979,795,53.677019796038564,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.4,0.1,3,[50],[50],0.1013,806,52.697821765547715,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.4,0.1,3,[50],[50],0.0975,804,53.92183164420471,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.5,0.1,3,[50],[50],0.097,801,54.17674078725643,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.5,0.1,3,[50],[50],0.1,837,53.11228833676618,0.0005,1,25.0,25.0,0.0
101,500,1,0.002,0.5,0.1,3,[50],[50],0.1017,821,52.554426755901005,0.0007,1,25.0,75.0,20.0
101,500,1,0.002,0.6,0.1,3,[50],[50],0.0985,799,53.54261305925332,0.001,1,50.0,75.0,15.811388300841896
101,500,1,0.002,0.6,0.1,3,[50],[50],0.0975,797,53.85858829513498,0.0006,1,25.0,50.0,10.0
101,500,1,0.002,0.6,0.1,3,[50],[50],0.0969,792,54.04154599421974,0.0009,1,50.0,75.0,18.708286933869708
101,500,1,0.002,0.7,0.1,3,[50],[50],0.0959,792,54.37658572167319,0.0006,1,25.0,50.0,10.0
