grid_size,grid_res,years,mu,p_spread,rho,n_repeats,x_lines,y_lines,initial_flammable_fraction,initial_num_flammable_clusters,initial_contagion,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
101,500,1,0.0004,0.3,0.1,3,"[33,66]","[33,66]",0.0928,745,55.363161274362426,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,"[33,66]","[33,66]",0.098,792,53.77358763978625,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.3,0.1,3,"[33,66]","[33,66]",0.0999,799,53.13584868349529,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,"[33,66]","[33,66]",0.095,775,54.73996078038561,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.4,0.1,3,"[33,66]","[33,66]",0.0973,793,53.92278258445421,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.4,0.1,3,"[33,66]","[33,66]",0.0967,785,54.17846425899978,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,"[33,66]","[33,66]",0.0905,747,56.073836268771956,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,"[33,66]","[33,66]",0.099,813,53.46244284357501,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.5,0.1,3,"[33,66]","[33,66]",0.0925,771,55.507715694789525,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,"[33,66]","[33,66]",0.0976,796,53.94649561885952,0.0003,1,75.0,75.0,0.0
101,500,1,0.0004,0.6,0.1,3,"[33,66]","[33,66]",0.0969,807,54.07359127931935,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.6,0.1,3,"[33,66]","[33,66]",0.0937,783,55.150227909396435,0.0001,1,25.0,25.0,0.0
101,500,1,0.0004,0.7,0.1,3,"[33,66]","[33,66]",0.0917,759,55.83538057481334,0.0002,1,50.0,50.0,0.0
101,500,1,0.0004,0.7,0.1,3,"[33,66]","[33,66]",0.0994,814,53.31265603028511,0.0001,1,25.0,25.0,0.0
