grid_size,grid_res,years,mu,p_spread,rho,n_repeats,initial_flammable_fraction,initial_num_flammable_clusters,burned_fraction,num_fires,median_fire_size_ha,max_fire_size_ha,sd_fire_size_ha
100,500,1,0.0004,0.3,0.1,3,0.1053,830,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.1,3,0.1013,819,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.1,3,0.0967,796,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.1,3,0.0978,803,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.1,3,0.0985,785,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.4,0.1,3,0.1014,816,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.1,3,0.105,843,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.5,0.1,3,0.1022,811,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.1,3,0.1007,785,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.6,0.1,3,0.0956,783,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.6,0.1,3,0.1028,813,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.6,0.1,3,0.0991,810,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.7,0.1,3,0.1007,789,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.7,0.1,3,0.0985,785,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.7,0.1,3,0.0993,782,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.1,3,0.0989,794,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.1,3,0.1024,823,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.1,3,0.1003,787,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.9,0.1,3,0.1012,801,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,0.9,0.1,3,0.0981,792,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.9,0.1,3,0.1004,824,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,1,0.1,3,0.1021,831,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,1,0.1,3,0.1041,840,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,1,0.1,3,0.1005,805,0.0001,1,25.0,25.0,0.0
100,500,1,0.002,0.3,0.1,3,0.0996,790,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.3,0.1,3,0.0978,774,0.001,5,50.0,100.0,27.386127875258307
100,500,1,0.002,0.3,0.1,3,0.0999,823,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.4,0.1,3,0.1005,785,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.4,0.1,3,0.1011,811,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.4,0.1,3,0.0927,765,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.5,0.1,3,0.0978,787,0.0009,5,50.0,50.0,10.0
100,500,1,0.002,0.5,0.1,3,0.1017,802,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.5,0.1,3,0.0957,782,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.6,0.1,3,0.0986,782,0.0009,5,25.0,100.0,29.154759474226502
100,500,1,0.002,0.6,0.1,3,0.1003,790,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.6,0.1,3,0.0968,779,0.0011,5,50.0,75.0,18.708286933869708
100,500,1,0.002,0.7,0.1,3,0.1006,813,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.7,0.1,3,0.1048,828,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.7,0.1,3,0.1016,824,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.8,0.1,3,0.1039,829,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.8,0.1,3,0.0984,806,0.0007,5,25.0,75.0,20.0
100,500,1,0.002,0.8,0.1,3,0.1054,827,0.0008,5,50.0,50.0,12.24744871391589
100,500,1,0.002,0.9,0.1,3,0.0993,777,0.0005,5,25.0,25.0,0.0
100,500,1,0.002,0.9,0.1,3,0.0992,813,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.9,0.1,3,0.0989,805,0.0009,5,25.0,125.0,40.0
100,500,1,0.002,1,0.1,3,0.0987,801,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,1,0.1,3,0.1015,831,0.0011,5,25.0,125.0,40.0
100,500,1,0.002,1,0.1,3,0.102,809,0.0006,5,25.0,50.0,10.0
100,500,1,0.04,0.3,0.1,3,0.0982,791,0.0113,97,25.0,75.0,12.268690964342168
100,500,1,0.04,0.3,0.1,3,0.0997,816,0.0111,99,25.0,50.0,8.159340616870463
100,500,1,0.04,0.3,0.1,3,0.105,840,0.0117,98,25.0,100.0,13.19891155130258
100,500,1,0.04,0.4,0.1,3,0.1024,827,0.0117,98,25.0,75.0,11.65958661431269
100,500,1,0.04,0.4,0.1,3,0.0988,820,0.0117,98,25.0,100.0,13.19891155130258
100,500,1,0.04,0.4,0.1,3,0.1025,812,0.0111,97,25.0,125.0,12.938041647434156
100,500,1,0.04,0.5,0.1,3,0.0996,815,0.0117,97,25.0,100.0,12.912345412242628
100,500,1,0.04,0.5,0.1,3,0.0995,797,0.0132,99,25.0,100.0,17.041245271518168
100,500,1,0.04,0.5,0.1,3,0.0939,761,0.0119,100,25.0,100.0,12.090802289343747
100,500,1,0.04,0.6,0.1,3,0.0985,789,0.0123,100,25.0,75.0,12.173228823939851
100,500,1,0.04,0.6,0.1,3,0.0962,766,0.0132,99,25.0,100.0,17.40776559556978
100,500,1,0.04,0.6,0.1,3,0.0983,806,0.0134,100,25.0,100.0,16.28649747490233
100,500,1,0.04,0.7,0.1,3,0.1012,813,0.0135,96,25.0,100.0,18.249616505673938
100,500,1,0.04,0.7,0.1,3,0.0995,798,0.0142,100,25.0,100.0,19.09842925478428
100,500,1,0.04,0.7,0.1,3,0.0972,781,0.0134,100,25.0,125.0,19.11151485361639
100,500,1,0.04,0.8,0.1,3,0.0992,800,0.0137,100,25.0,125.0,18.925842121290138
100,500,1,0.04,0.8,0.1,3,0.098,798,0.0138,99,25.0,125.0,20.043570538368108
100,500,1,0.04,0.8,0.1,3,0.1009,793,0.0135,99,25.0,150.0,18.954539398783034
100,500,1,0.04,0.9,0.1,3,0.1055,812,0.0157,100,25.0,125.0,20.99255820523073
100,500,1,0.04,0.9,0.1,3,0.1021,825,0.014,100,25.0,125.0,19.364916731037084
100,500,1,0.04,0.9,0.1,3,0.1029,815,0.0154,100,25.0,200.0,25.59785147234041
100,500,1,0.04,1,0.1,3,0.0985,804,0.0156,100,25.0,175.0,24.576411454889016
100,500,1,0.04,1,0.1,3,0.0967,764,0.0145,100,25.0,175.0,21.0282548015759
100,500,1,0.04,1,0.1,3,0.1019,830,0.0147,100,25.0,125.0,20.141685629559408
100,500,1,0.0004,0.3,0.2,3,0.1931,1190,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.3,0.2,3,0.1979,1216,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.3,0.2,3,0.1996,1252,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.2,3,0.2048,1189,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.2,3,0.1987,1184,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.4,0.2,3,0.2038,1236,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.2,3,0.1989,1212,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.2,3,0.2021,1247,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.5,0.2,3,0.1995,1213,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.6,0.2,3,0.2019,1245,0.0006,1,150.0,150.0,0.0
100,500,1,0.0004,0.6,0.2,3,0.2007,1214,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.6,0.2,3,0.2009,1210,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.7,0.2,3,0.2005,1219,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.7,0.2,3,0.2009,1245,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.7,0.2,3,0.2026,1187,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,0.8,0.2,3,0.2004,1251,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.2,3,0.2002,1244,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,0.8,0.2,3,0.1898,1180,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,0.9,0.2,3,0.2021,1223,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,0.9,0.2,3,0.2053,1241,0.0003,1,75.0,75.0,0.0
100,500,1,0.0004,0.9,0.2,3,0.2025,1191,0.0001,1,25.0,25.0,0.0
100,500,1,0.0004,1,0.2,3,0.201,1226,0.0004,1,100.0,100.0,0.0
100,500,1,0.0004,1,0.2,3,0.1991,1202,0.0002,1,50.0,50.0,0.0
100,500,1,0.0004,1,0.2,3,0.204,1208,0.0001,1,25.0,25.0,0.0
100,500,1,0.002,0.3,0.2,3,0.2033,1248,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.3,0.2,3,0.1984,1220,0.0006,5,25.0,50.0,10.0
100,500,1,0.002,0.3,0.2,3,0.1941,1191,0.0008,5,50.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.2,3,0.2056,1248,0.0007,5,25.0,50.0,12.24744871391589
100,500,1,0.002,0.4,0.2,3,0.2059,1241,0.0009,5,50.0,75.0,18.708286933869708
100,500,1,0.002,0.4,0.2,3,0.1973,1230,0.0008,5,25.0,75.0,20.0
100,500,1,0.002,0.5,0.2,3,0.1969,1205,0.0009,5,25.0,100.0,29.154759474226502
100,500,1,0.002,0.5,0.2,3,0.2024,1253,0.0005,5,25.0,25.0,0.0
